n,(3/2)^n,n^3,(lg n)^2,lg(n!),2^(2n),log(log n),lg n,n*2^n,ln n,e^n,n!
18,1477.8918800354,5832,17.3882745177,52.5075283126,68719476736.0000000000,1.0613851298,4.1699250014,4718592.0000000000,2.8903717579,65659969.1373305097,6402373705728000
19,2216.8378200531,6859,18.0448881595,56.7554558260,274877906944.0000000000,1.0799182995,4.2479275134,9961472.0000000000,2.9444389792,178482300.9631872475,121645100408832000
20,3325.2567300797,8000,18.6790624574,61.0773839209,1099511627776.0000000000,1.0971887004,4.3219280949,20971520.0000000000,2.9957322736,485165195.4097902775,2432902008176640000
21,4987.8850951195,9261,19.2924523424,65.4697013437,4398046511104.0000000000,1.1133440540,4.3923174228,44040192.0000000000,3.0445224377,1318815734.4832146168,2432902008176640000
22,7481.8276426792,10648,19.8865303613,69.9291329623,17592186044416.0000000000,1.1285083976,4.4594316186,92274688.0000000000,3.0910424534,3584912846.1315917969,2432902008176640000
23,11222.7414640188,12167,20.4626127703,74.4526949184,70368744177664.0000000000,1.1427868063,4.5235619561,192937984.0000000000,3.1354942159,9744803446.2489032745,2432902008176640000
24,16834.1121960282,13824,21.0218811330,79.0376574191,281474976710656.0000000000,1.1562690064,4.5849625007,402653184.0000000000,3.1780538303,26489122129.8434715271,2432902008176640000
25,25251.1682940423,15625,21.5654003113,83.6815136089,1125899906842624.0000000000,1.1690321759,4.6438561898,838860800.0000000000,3.2188758249,72004899337.3858795166,2432902008176640000
26,37876.7524410635,17576,22.0941335439,88.3819533270,4503599627370496.0000000000,1.1811431408,4.7004397181,1744830464.0000000000,3.2580965380,195729609428.8387756348,2432902008176640000
27,56815.1286615953,19683,22.6089551582,93.1368408292,18014398509481984.0000000000,1.1926601163,4.7548875022,3623878656.0000000000,3.2958368660,532048240601.7986450195,2432902008176640000
28,85222.6929923929,21952,23.1106613466,97.9441957512,72057594037927936.0000000000,1.2036341000,4.8073549221,7516192768.0000000000,3.3322045102,1446257064291.4750976562,2432902008176640000
29,127834.0394885894,24389,23.5999793490,102.8021767464,288230376151711744.0000000000,1.2141099979,4.8579809951,15569256448.0000000000,3.3672958300,3931334297144.0419921875,2432902008176640000
